11;ABC Kindergarten;Kindertagesstätte;ABC Kindergarten gUG (haftungsbeschränkt);Liepnitzstr. 49;10318 Berlin (Lichtenberg);52.47892;13.51381;03050154228;abc_kindergarten@gmx.de;;7.0;17.0;10.0;07:00-17:00;12;deutsch
12;ABC-Kindergarten Birgit Döbler;Kindertagesstätte;ABC Kindergarten gUG (haftungsbeschränkt);Cicerostr. 63;10709 Berlin (Charlottenburg-Wilmersdorf);52.49792000000001;13.302;0308913331;abc-kindergarten@gmx.de;;8.0;17.0;9.0;08:00-17:00;12;deutsch
13;Alegria Kiga;Kindertagesstätte;Alegria Kiga gGmbH;Mohrenstr. 11;10117 Berlin (Mitte);52.5118419;13.3881619;03023902473;kiga.alegria@gmx.de;;7.5;18.5;11.0;07:30-18:30;12;englisch, spanisch
14;Am Hain;Kindertagesstätte;Kindergärten NordOst;Am Friedrichshain 18A;10407 Berlin (Pankow);52.52968000000001;13.43022;0304250106;kindergarten.am-friedrichshain@kigaeno.de;;6.0;18.0;12.0;06:00-18:00;0;deutsch
15;Am Studio 5 / Kitas SüdOst;Kindertagesstätte;Kindertagesstätten SüdOst Eigenbetrieb von Berlin;Am Studio 5;12489 Berlin (Treptow-Köpenick);52.428169;13.543557;030565 900 220;kita-amstudio@kita-suedost.de;;6.0;18.0;12.0;06:00-18:00;2;deutsch
16;ASB Hugenottenhofkita Berlin;Kindertagesstätte;ASB Kinder- und Jugendhilfe Berlin gGmbH;Hauptstr. 13;13127 Berlin (Pankow);52.6048714;13.4320242;0174 3422862;d.stolt@asb-berlin.de;;;;;;0;deutsch
17;Außenstelle FRÖBEL Kindergarten Palmkernzeile;Kindertagesstätte;Fröbel Bildung und Erziehung gGmbH;Am Speicher 2;10245 Berlin (Friedrichshain-Kreuzberg);52.4959684;13.4745211;03013893556;inselkinder-berlin@froebel-gruppe.de;www.froebel-gruppe.de;6.0;18.0;12.0;06:00-18:00;36;deutsch
18;AWO Europakita;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.;Blücherstr. 46 -47;10961 Berlin (Friedrichshain-Kreuzberg);52.4916552;13.404509;030251 34 42;europakita@awo-mitte.de;;6.0;17.0;11.0;06:00-17:00;0;deutsch
19;AWO Kita am Spreebogen;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.;Alt-Moabit 98;10559 Berlin (Mitte);52.5247201;13.3464529;03044724001;anspreebogen@awo-mitte.de;;;;;;0;deutsch
20;AWO Kita Die wilde 13;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Südost e.V.;Jeanette-Wolff-Str. 13;12355 Berlin (Neukölln);52.4029373;13.5098348;03066992820;info-diewilde13@awo-suedost.de;;6.0;18.0;12.0;06:00-18:00;0;deutsch
21;AWO Kita Freie Scholle;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Südost e.V.;Erholungsweg 1;13509 Berlin (Reinickendorf);52.59814;13.30593;433 81 54;info-freiescholle@awo-suedost.de;;6.0;18.0;12.0;06:00-18:00;0;deutsch
22;AWO Kita Grashüpfer;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Südost e.V.;Honnefer Str. 25;10318 Berlin (Lichtenberg);52.4853697;13.5340783;509 86 51;info-grashuepfer@awo-suedost.de;;7.0;18.0;11.0;07:00-18:00;0;deutsch
23;AWO Kita Kastanie;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.;Reichenberger Str. 122;10999 Berlin (Friedrichshain-Kreuzberg);52.49534999999999;13.43189;030611 45 25;kastanie@awo-mitte.de;;6.0;17.0;11.0;06:00-17:00;0;deutsch
24;AWO Kita Kinderwelt;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Südost e.V.;Klixstr. 31D;13403 Berlin (Reinickendorf);52.56924;13.30816;0304178900;info-kinderwelt@awo-suedost.de;;6.0;18.0;12.0;06:00-18:00;0;deutsch
25;AWO Kita Löwenzahn;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.;Baerwaldstr. 56;10961 Berlin (Friedrichshain-Kreuzberg);52.4927395;13.4026517;0302512026;loewenzahn@awo-mitte.de;;6.0;17.0;11.0;06:00-17:00;0;deutsch
26;AWO Kita Maulwurf;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.;Derfflingerstr. 21;10785 Berlin (Mitte);52.5032376;13.3566709;030261 89 50;maulwurf@awo-mitte.de;;7.0;17.0;10.0;07:00-17:00;2;deutsch
27;AWO Kita Müggelzwerge;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Südost e.V.;Peter-Hille-Str. 4;12587 Berlin (Treptow-Köpenick);52.454704;13.6210976;645 56 77;info-mueggelzwerge@awo-suedost.de;;6.0;18.0;12.0;06:00-18:00;0;deutsch
28;AWO Kita Rosa Marzipan;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.;Putbusser Str. 30;13355 Berlin (Mitte);52.5467317;13.3916462;030463 41 37;rosamarzipan@awo-mitte.de;;6.5;17.5;11.0;06:30-17:30;2;deutsch
29;AWO Kita Schatzinsel;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Südost e.V.;Juchaczweg 11;12351 Berlin (Neukölln);52.4350438;13.4573353;601 81 81;info-schatzinsel@awo-suedost.de;;6.0;17.5;11.5;06:00-17:30;0;deutsch
30;AWO Kita Schmetterling;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.;Turmstr. 71;10551 Berlin (Mitte);52.52678849999999;13.3322648;030397 41 995;schmetterling@awo-mitte.de;;7.0;17.0;10.0;07:00-17:00;12;deutsch
31;AWO Kita Schneckenhaus;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Südost e.V.;Bernauer Str. 136;13507 Berlin (Reinickendorf);52.575793;13.2716177;03043551074;info-schneckenhaus@awo-suedost.de;;6.0;18.0;12.0;06:00-18:00;0;deutsch
32;AWO Kita Sonnenblume;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.;Reinickendorfer Str. 62;13347 Berlin (Mitte);52.55433129999999;13.3655252;030455 66 50;sonnenblume@awo-mitte.de;;6.0;17.0;11.0;06:00-17:00;0;deutsch
33;AWO Kita Sonnenkinder;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Südost e.V.;Zinsgutstr. 38;12489 Berlin (Treptow-Köpenick);52.4378176;13.556519;6789 5875;info-sonnenkinder@awo-suedost.de;;6.0;17.5;11.5;06:00-17:30;0;deutsch
34;AWO Kita Spatzennest;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Südost e.V.;Dammweg 155 -157;12437 Berlin (Treptow-Köpenick);52.47497;13.47554;5328375/5324453;info-spatzennest@awo-suedost.de;;6.0;17.5;11.5;06:00-17:30;0;deutsch
35;AWO Kita Wassertropfen;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.;Oranienstr. 192;10999 Berlin (Friedrichshain-Kreuzberg);52.5002;13.42242;030614 48 29;wassertropfen@awo-mitte.de;;6.0;17.0;11.0;06:00-17:00;0;deutsch
36;AWO-Kita Feldhäuschen;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Spandau e.V.;Brunsbütteler Damm 413;13591 Berlin (Spandau);52.53432;13.13592;030363 00 68;kita-felhaeschen@awo-spandau.de;www.awo-spandau.de/kita_feldhaeuschen.htm;6.5;17.5;11.0;06:30-17:30;2;deutsch
37;AWO-Kita Kladow;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Spandau e.V.;Mascha-Kaleko-Weg 3;14089 Berlin (Spandau);52.4568009;13.1550512;0303652094;kita-kladow@awo-spandau.de;www.awo-spandau.de/kita_kladow.htm;7.0;17.0;10.0;07:00-17:00;17;deutsch
38;AWO-Kita Landstadt Gatow;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Spandau e.V.;Saint-Exupery-Str. 10;14089 Berlin (Spandau);52.4708341;13.1304073;0303699 6990;kita-landstadt-gatow@awo-spandau.de;https://www.awo-spandau.de/kinder-familie/kindertagesstaette-landstadt-gatow.html;6.0;18.0;12.0;06:00-18:00;2;deutsch
39;AWO-Kita Sternschnuppe;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Spandau e.V.;Falkenseer Chaussee 8;13583 Berlin (Spandau);52.5464918;13.1906317;0303754960;kita-sternschnuppe@awo-spandau.de;https://www.awo-spandau.de/kinder-familie/kindertagesstaette-sternschnuppe.html;6.0;17.5;11.5;06:00-17:30;2;deutsch
40;AWO-Kita Wundertüte;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Spandau e.V.;Neuendorfer Str. 56;13585 Berlin (Spandau);52.55256;13.21009;030336 43 87;kita-wundertuete@awo-spandau.de;https://www.awo-spandau.de/kinder-familie/kindertagesstaette-wundertuete.html;6.0;17.0;11.0;06:00-17:00;2;deutsch
41;AWO-Kita Zwergenwinkel;Kindertagesstätte;Arbeiterwohlfahrt Kreisverband Spandau e.V.;Zweiwinkelweg 12;13591 Berlin (Spandau);52.53154000000001;13.14643;03037151761;kita-zwergenwinkel@awo-spandau.de;;6.0;17.5;11.5;06:00-17:30;2;deutsch
42;Bambini-Oase - Casa gialla;Kindertagesstätte;MAHALE Familien- und Servicemanagement gGmbH;Anton-Saefkow-Str. 64B;10407 Berlin (Pankow);52.53519;13.44427;03042808220;hans-otto-gelb@mahale-ggmbh.de;www.mahale-ggmbh.de/kita-bambinioase.html;6.5;17.5;11.0;06:30-17:30;3;deutsch
43;Bärliner Bärchis Kita;Kindertagesstätte;Bright Kids KITA gemeinnützige UG (haftungsbeschränkt);Johannisthaler Chaussee 392;12351 Berlin (Neukölln);52.42635000000001;13.44425;0178 4256494;baerlinerbaerchis@gmail.com;;;;;;0;deutsch
44;BCS Kindergarten Preschool;Kindertagesstätte;EBS-Europäische Bildungsstiftung gGmbH;Invalidenstr. 130;10115 Berlin (Mitte);52.5315585;13.3889139;030688332340;mail@cosmopolitanschool.de;www.cosmopolitanschool.de;7.5;18.0;10.5;07:30-18:00;11;englisch
45;Berlin Kids international Kita;Kindertagesstätte;Pfefferwerk Stadtkultur gGmbH;Wichertstr. 24;10439 Berlin (Pankow);52.5478767;13.4220132;03074749796;berlin-kids-kita@pfefferwerk.de;www.pfefferwerk.de;6.5;17.5;11.0;06:30-17:30;2;englisch
46;Berlin Metropolitan School;Eltern-Initiativ-Kindertagesstätte;Berlin Metropolitan School gGmbH;Linienstr. 122 -124;10115 Berlin (Mitte);52.52678119999999;13.3900456;030887273918;info@metropolitanschool.com;www.metropolitanschool.com;7.5;18.0;10.5;07:30-18:00;36;englisch
47;Bewegte Kita;Kindertagesstätte;Märkische Kita u. Schule gGmbH;Lindenstr. 26;12555 Berlin (Treptow-Köpenick);52.4538839;13.5678607;03065015495;schule-berlin@msbw-online.de;;;;;;12;deutsch
48;Bilinguales Montessori-Kinderhaus Friedenau;Kindertagesstätte;Montessori und Friends Education gGmbH;Handjerystr. 46;12161 Berlin (Tempelhof-Schöneberg);52.4693999;13.3307791;03085070700;kinderhaus.friedenau@montessori-friends.de;;7.0;18.0;11.0;07:00-18:00;12;englisch
49;BIP Kreativitätskita Treskow-Höfe;Kindertagesstätte;BIP - Gesellschaft für Kreativitätspädagogik gGmbH;Treskowallee 22 - 24;10318 Berlin (Lichtenberg);52.4911505;13.527501;03023926130;kita-th@bip-bildung-berlin.de;www.bip-bildung-berlin.de;7.0;18.0;11.0;07:00-18:00;8;deutsch
50;BOOT-Kita Am Kirschbaum;Kindertagesstätte;Gemeinnützige BOOT GmbH;Albert-Kuntz-Str. 41;12627 Berlin (Marzahn-Hellersdorf);52.53776999999999;13.61764;0309986002;kirschbaum@bootkitas.de;www.bootkitas.wordpress.com;6.0;18.0;12.0;06:00-18:00;2;deutsch
51;BOOT-Kita Augsburg;Kindertagesstätte;Gemeinnützige BOOT GmbH;Augsburger Str. 12;10789 Berlin (Tempelhof-Schöneberg);52.50105;13.33815;03084857000;augsburg@bootkitas.de;www.bootkitas.wordpress.com;7.0;18.0;11.0;07:00-18:00;2;deutsch
52;BOOT-Kita Farbenland;Kindertagesstätte;Gemeinnützige BOOT GmbH;Koppenstr. 15;10243 Berlin (Friedrichshain-Kreuzberg);52.51345999999999;13.4362;0302965462;farbenland@bootkitas.de;www.bootkitas.wordpress.com;6.0;18.0;12.0;06:00-18:00;2;deutsch
53;BOOT-Kita Fritz-Werner;Kindertagesstätte;Gemeinnützige BOOT GmbH;Fritz-Werner-Str. 43;12107 Berlin (Tempelhof-Schöneberg);52.43284;13.38368;03093952557;fritz-werner@bootkitas.de;www.bootkitas.wordpress.com;6.0;18.0;12.0;06:00-18:00;2;deutsch
54;BOOT-Kita Haus Lach und Krach;Kindertagesstätte;Gemeinnützige BOOT GmbH;Suhler Str. 43;12629 Berlin (Marzahn-Hellersdorf);52.53654;13.58905;0305618004;lachundkrach@bootkitas.de;www.bootkitas.wordpress.com;6.0;18.0;12.0;06:00-18:00;2;deutsch
55;BOOT-Kita Sonneninsel;Kindertagesstätte;Gemeinnützige BOOT GmbH;Leberstr. 69 -77;10829 Berlin (Tempelhof-Schöneberg);52.480714;13.3614014;03044721865;sonneninsel@bootkitas.de;www.bootkitas.wordpress.com;6.0;18.0;12.0;06:00-18:00;2;deutsch
56;BOOT-Kita Spatzenhaus;Kindertagesstätte;Gemeinnützige BOOT GmbH;Gadebuscher Str. 21;12619 Berlin (Marzahn-Hellersdorf);52.51644;13.58041;0305615159;spatzenhaus@bootkitas.de;www.bootkitas.wordpress.com;6.0;18.0;12.0;06:00-18:00;2;deutsch
57;BOOT-Kita Traumburg;Kindertagesstätte;Gemeinnützige BOOT GmbH;Weilburgstr. 11;12309 Berlin (Tempelhof-Schöneberg);52.3972;13.41666;030 84850460;traumburg@bootkitas.de;www.bootkitas.wordpress.com;6.0;18.0;12.0;06:00-18:00;2;deutsch
58;BOOT-Kita Uhlandzwerge;Kindertagesstätte;Gemeinnützige BOOT GmbH;Uhlandstr. 33;13158 Berlin (Pankow);52.59067;13.36592;0309167930;uhlandzwerge@bootkitas.de;www.bootkitas.wordpress.com;6.0;18.0;12.0;06:00-18:00;2;deutsch
59;BOOT-Kita Wummelbude;Kindertagesstätte;Gemeinnützige BOOT GmbH;Fercher Str. 10 -12;12629 Berlin (Marzahn-Hellersdorf);52.5415034;13.5856711;0309939048;wummelbude@bootkitas.de;www.bootkitas.wordpress.com;6.0;18.0;12.0;06:00-18:00;2;deutsch
60;Buckower Spatzen Bewegungskindergarten;Kindertagesstätte;Kinder in Bewegung gGmbH Gemeinnützige Kindergarten-Trägergesellschaft des Berliner Sports;Buckower Damm 192;12349 Berlin (Neukölln);52.4266209;13.4350107;030604 20 60;mail@kita-buckower-spatzen.de;;6.0;17.0;11.0;06:00-17:00;2;deutsch
61;Bude-Kids;Waldkindergarten;Sylvester e. V. Berlin;Alfred-Randt-Str. 60;12559 Berlin (Treptow-Köpenick);52.4397871;13.6032894;03061795967;bude-kids@sylvester-ev.de;;7.5;12.5;5.0;07:30-12:30;24;deutsch
62;Bunte Kinderwelt;Kindertagesstätte;Jugend- und Sozialwerk gGmbH;Schorfheidestr. 48 - 50;12689 Berlin (Marzahn-Hellersdorf);52.5727;13.57558;03093666204;marzaehnchen-bln@jus-or.de;;6.0;18.0;12.0;06:00-18:00;0;deutsch
63;Cardelinas;Kindertagesstätte;tuKita gemeinnützige UG (haftungsbeschränkt);Leydenallee 90;12167 Berlin (Steglitz-Zehlendorf);52.4538729;13.3239215;030;cardelinas@tukita.de;;8.0;17.0;9.0;08:00-17:00;12;deutsch
64;Carlis Ponyhof;Kindertagesstätte;PeWoBe Gemeinnützige Soziale Betreuungsgesellschaft mbH in Frankfurt/Oder;Am Carlsgarten 16;10318 Berlin (Lichtenberg);52.4793716;13.5282617;03047594444;kita-carlsgarten@t-online.de;;6.5;18.5;12.0;06:30-18:30;2;englisch
65;Cheburashka - Winsviertel;Kindertagesstätte;Cheburashka gGmbH;Jablonskistr. 35;10405 Berlin (Pankow);52.535554;13.4296385;03023947450;jablonski@kitacheburashka.de;www.kitacheburashka.de;8.0;18.0;10.0;08:00-18:00;12;englisch
66;Cheburashka-Charlottenburg;Kindertagesstätte;Cheburashka gGmbH;Mindener Str. 11;10589 Berlin (Charlottenburg-Wilmersdorf);52.5254376;13.2989435;03076231387;charlottenburg@kitacheburashka.de;www.kitacheburashka.de;8.0;17.0;9.0;08:00-17:00;12;russisch
67;Cheburashka-Tempelhof;Kindertagesstätte;Cheburashka gGmbH;Nahariyastr. 40;12309 Berlin (Tempelhof-Schöneberg);52.39399;13.42022;03048818359;tempelhof@kitacheburashka.de;www.kitacheburashka.de;7.0;17.0;10.0;07:00-17:00;12;russisch
68;Christliche Kita Fischlein;Kindertagesstätte;TW Help for Family gGmbH;Rudolf-Seiffert-Str. 53;10369 Berlin (Lichtenberg);52.5253233;13.4712751;0176 23114017;kita.fischlein.berlin@gmail.com;;;;;;0;deutsch
69;Christliche Montessori-Kindertagesstätte;Kindertagesstätte;Theophanu gemeinnützige GmbH;Karmeliterweg 14;13465 Berlin (Reinickendorf);52.63024;13.28686;03040104330;kita@theophanu.org;;7.5;16.5;9.0;07:30-16:30;2;englisch
70;CityKids Berlin;Kindertagesstätte;CityKids Berlin-Rummelsburg gGmbH;Eitelstr. 16;10317 Berlin (Lichtenberg);52.5070493;13.4950091;03040039746;info@citykidsberlin.de;www.citykidsberlin.de;7.0;18.0;11.0;07:00-18:00;10;deutsch
71;CJD Kindertagesstätte "Stubs und Fridolin";Kindertagesstätte;CJD Berlin Im Christlichen Jugenddorfwerk Deutschlands e.V.;Lenther Steig 4;13629 Berlin (Spandau);52.5385;13.26719;03038306283;kita2@cjd-berlin.de;;;;;;0;deutsch
72;CJD Kita an der Milchstraße;Kindertagesstätte;CJD Berlin Im Christlichen Jugenddorfwerk Deutschlands e.V.;Schönefelder Chaussee 187A;12524 Berlin (Treptow-Köpenick);52.4047657;13.5255502;03061504471;kita.milchstrasse@cjd-berlin.de;www.cjd-berlin.de;6.0;17.0;11.0;06:00-17:00;2;deutsch
73;Coworking Toddler Prenzlauer Berg;Kindertagesstätte;CT Toddler Berlin gUG (haftungsbeschränkt);Greifenhagener Str. 48;10437 Berlin (Pankow);52.5486236;13.4159314;03089401850;;;;;;;0;deutsch
74;das Bildungshaus;Kindertagesstätte;Montessori-Stiftung Berlin (MSB);Marzahner Str. 14;13053 Berlin (Lichtenberg);52.5463158;13.5113802;0176 53218246;;;;;;;0;spanisch
75;Das Haus der kleinen Freunde;Kindertagesstätte;Kinder Vision gemeinnützige GmbH;Streitstr. 74;13587 Berlin (Spandau);52.5576;13.20739;03089623747;info@kinder-vision.de;www.kinder-vision.de;7.0;17.0;10.0;07:00-17:00;12;deutsch
76;Deutsch-chinesische Kita;Eltern-Initiativ-Kindertagesstätte;Das China Büro e. V.;Dunckerstr. 90A;10437 Berlin (Pankow);52.54067;13.41845;03047386609;kita@daschinabuero.org;;8.0;17.0;9.0;08:00-17:00;0;deutsch
77;Deutsch-Englischer Kindergarten Lilolei;Kindertagesstätte;Deutsch-Englischer Kindergarten Lilolei e.V.;Pfalzburger Str. 62;10719 Berlin (Charlottenburg-Wilmersdorf);52.4937463;13.3221727;03086399043;;;8.0;17.0;9.0;08:00-17:00;12;deutsch
78;Deutsch-Französische Kita Kiternelle P'tits Loups;Kindertagesstätte;Kiternelle P'tits Loups e.V.;Eldenaer Str. 44;10247 Berlin (Pankow);52.52024919999999;13.4615402;030420 836 47;info@petitsloups.de;www.petitsloups.de;8.0;17.0;9.0;08:00-17:00;18;französisch
79;Deutsch-Französische Kita/Kigä City;Kindertagesstätte;Kindergärten City;Afrikanische Str. 121;13351 Berlin (Mitte);52.55456;13.33526;0304528036;Kita.deutsch-franzoesisch@ba-fk.berlin.de;http://www.kindergaerten-city.de/afrikanische-str-121;6.5;17.5;11.0;06:30-17:30;10;französisch
80;Dickenskita;Kindertagesstätte;Berlin British School gGmbH;Dickensweg 17 -19;14055 Berlin (Charlottenburg-Wilmersdorf);52.50843;13.23702;03035109330;Leonie.vonlilien@berlinbritishschool.de;;7.5;18.0;10.5;07:30-18:00;60;englisch
81;Die Kindergärtnerei;Kindertagesstätte;Die Kindergärtnerei Kinderhaus Briesingstraße e. V.;Briesingstr. 30;12307 Berlin (Tempelhof-Schöneberg);52.3837124;13.3997413;03070787717;die-kindergaertnerei@online.de;;7.5;17.0;9.5;07:30-17:00;12;deutsch
82;Die Kinkies;Eltern-Initiativ-Kindertagesstätte;Die Kinkies e.V.;Weisestr. 4;12049 Berlin (Neukölln);52.4795996;13.4229636;0306225381;vorstand.kinkies@gmail.com;;8.0;16.5;8.5;08:00-16:30;12;deutsch
83;DIE KITA der Ev.-Paul-Gerhard-Kgm.;Kindertagesstätte;Ev. Kirchengemeinde Paul-Gerhardt;Im Spektefeld 26;13589 Berlin (Spandau);52.5492457;13.1576392;03037585253;kita@paulgerhardtgemeinde.de;;7.5;16.5;9.0;07:30-16:30;12;deutsch
84;Die kleine Welt;Eltern-Initiativ-Kindertagesstätte;Schippe und Eimer e.V.;Forster Str. 17;10999 Berlin (Friedrichshain-Kreuzberg);52.4940331;13.4317739;03061655720;auroville@arcor.de;;8.0;18.0;10.0;08:00-18:00;0;deutsch
85;Die kleinen Grünschnäbel II;Kindertagesstätte;Die kleinen Grünschnäbel UG (haftungsbeschränkt);Eichborndamm 42 - 45;13403 Berlin (Reinickendorf);52.5720274;13.313902;030;diekleinengruenschnaebel@web.de;;;;;;0;deutsch
86;Die kleinen Piraten;Kindertagesstätte;Fröbel Bildung und Erziehung gGmbH;Seeburger Str. 9 - 11;13581 Berlin (Spandau);52.528627;13.1913769;03031168989;seeburger-berlin@froebel-gruppe.de;www.froebel-gruppe.de;6.0;19.0;13.0;06:00-19:00;3;deutsch
87;Die schlauen Mäuschen;Kindertagesstätte;I. I. I. e. V. c/o Camilla Bernatchin c/o Uwe Schumann;Eckertstr. 17;10249 Berlin (Friedrichshain-Kreuzberg);52.5188773;13.4505032;03055125582;horbuta@gmx.de;;8.0;17.0;9.0;08:00-17:00;12;russisch
88;Die Senfkörner;Kindertagesstätte;Die Senfkörner e.V.;Allee der Kosmonauten 79;12681 Berlin (Marzahn-Hellersdorf);52.52731;13.54472;03054431391;info@diesenfkoerner.de;www.diesenfkoerner.de;7.0;17.0;10.0;07:00-17:00;12;deutsch
89;Die wilden 25;Eltern-Initiativ-Kindertagesstätte;Die wilden 25 e. V.;Nehringstr. 32;14059 Berlin (Charlottenburg-Wilmersdorf);52.517;13.29411;030;diewilden25@gmx.de;;;;;;0;deutsch
90;Die wilden Westender;Kindertagesstätte;Die wilden Westender e.V.;Flatowallee 16 -24;14055 Berlin (Charlottenburg-Wilmersdorf);52.5102769;13.2441452;03030834998;kita@die-wilden-westender.de;;7.0;17.0;10.0;07:00-17:00;0;deutsch
91;Die Zauberflöten - Kita an der Deutschen Oper;Kindertagesstätte;Familie im Zentrum FiZ gGmbH;Bismarckstr. 25;10625 Berlin (Charlottenburg-Wilmersdorf);52.5121167;13.3120844;03063962985;info@zauberfloeten-berlin.de;www.zauberfloeten-berlin.de;7.0;19.0;12.0;07:00-19:00;6;deutsch
92;Dracos Drachen Kids;Kindertagesstätte;Dracos Drachen-Kids gUG (haftungsbeschränkt);Nienhagener Str. 21;13051 Berlin (Lichtenberg);52.5698258;13.4943161;03054595180;dracos.drachenkids@gmx.de;;;;;;0;deutsch
93;EIKITA Felix;Eltern-Initiativ-Kindertagesstätte;EIKITA Felix e. V.;Wexstr. 20;10715 Berlin (Charlottenburg-Wilmersdorf);52.47887369999999;13.3338885;0308537601;info@kinderladen-felix.de;www.kinderladen-felix.de;8.0;16.5;8.5;08:00-16:30;12;deutsch
94;Ei-Kita Humpty Dumpty;Eltern-Initiativ-Kindertagesstätte;Ei-Kita Humpty Dumpty e.V.;Wartburgstr. 6;10823 Berlin (Tempelhof-Schöneberg);52.48784999999999;13.35036;030 7812190;kids@humpty-dumpty-berlin.de;http://www.humpty-dumpty-berlin.de;8.0;17.0;9.0;08:00-17:00;0;deutsch
95;EiKiTa Pünktchen;Eltern-Initiativ-Kindertagesstätte;EiKiTa Pünktchen e. V.;Alt-Lietzow 7;10587 Berlin (Charlottenburg-Wilmersdorf);52.51853;13.30759;030342 10 17;kinderladen-puenktchen@gmx.de;;8.0;16.0;8.0;08:00-16:00;18;deutsch
96;EKG - Bundesallee 76A;Eltern-Kind-Gruppe;Ev. Kirchengemeinde Zum Guten Hirten;Bundesallee 76A;12161 Berlin (Tempelhof-Schöneberg);52.4709;13.32789;0308596 6922;kiga.zum.guten.hirten@gmail.com;http://www.zum-guten-hirten-friedenau.de/page/260/kindergarten-zum-guten-hirten;8.0;13.0;5.0;08:00-13:00;30;deutsch
97;EKG - Gallwitzallee 4;Eltern-Kind-Gruppe;Ev. Kirchengemeinde Dreifaltigkeit;Gallwitzallee 4;12249 Berlin (Steglitz-Zehlendorf);52.43540669999999;13.3456638;030774 40 20;kuesterei@lankwitz-kirche.de;;8.0;12.0;4.0;08:00-12:00;36;deutsch
